text,label
I missed the bus and the next one was 45 minutes late,genuine
My dog ate my assignment,fake
I was stuck in traffic for over an hour due to an accident on the highway,genuine
I couldn't submit because my Wi-Fi router stopped working and I had no mobile data,genuine
My grandmother suddenly fell ill and I had to take her to the hospital,genuine
My laptop charger broke and the battery died before I could finish,genuine
I was abducted by aliens last night,fake
A wizard cast a spell on my homework,fake
I had a severe migraine and couldn't look at a screen,genuine
My little sister deleted my project files by accident,genuine
My internet was down due to a power outage in our area,genuine
I was bitten by a radioactive spider and had to recover,fake
I accidentally submitted the wrong file and didn't realize until now,genuine
My phone alarm didn't go off because I forgot to plug it in,genuine
A unicorn distracted me all evening,fake
I had a fever of 102°F and was bedridden all day,genuine
The assignment portal was showing an error when I tried to submit,genuine
My pet goldfish passed away and I was too emotional to focus,fake
I was at the hospital for an emergency dental procedure,genuine
My printer ran out of ink at midnight and no shops were open,genuine
I had to attend my cousin's wedding out of town this weekend,genuine
I was helping my mom shift furniture and hurt my back,genuine
I left my notebook in the college canteen and realized only at night,genuine
A ghost kept turning off my computer,fake
My younger brother had an asthma attack and I was caring for him,genuine
I was locked out of my house and waited 2 hours for a locksmith,genuine
I couldn't concentrate because construction noise outside was unbearable,genuine
My time machine broke down and I got stuck in 1995,fake
I had an anxiety attack before the exam and needed time to calm down,genuine
My project partner went offline suddenly and I had no access to shared files,genuine
I was abducted by government agents for a secret mission,fake
The library closed early due to a staff shortage and I had no books at home,genuine
I had food poisoning after eating from the college canteen,genuine
My cat walked on my keyboard and deleted everything,genuine
I was on a train with no signal for 6 hours,genuine
My reading glasses broke and I can't read without them,genuine
I was busy fighting dragons,fake
There was a family emergency and I had to travel overnight,genuine
The power went out in my area for 8 hours,genuine
I tried to submit but the college portal was under maintenance,genuine
I was helping my father at his shop because his assistant didn't come,genuine
My invisible friend ate my homework,fake
I had a panic attack during the exam and had to step out,genuine
My cycle tyre punctured on the way to college,genuine
I couldn't find the right journal articles for my literature review,genuine
I was visited by time travelers who needed my help,fake
My USB drive got corrupted and I lost all my work,genuine
I had a job interview that was rescheduled last minute to the same day,genuine
The hostel had no hot water and I was shivering sick,genuine
My mother was hospitalized and I stayed with her overnight,genuine
I sneezed so hard I forgot everything I studied,fake
I had a mandatory blood donation drive at my college that took half the day,genuine
The exam hall was changed at the last minute and I went to the wrong building,genuine
I was cursed by a witch and couldn't type,fake
My roommate accidentally took my laptop to his hometown,genuine
I had to attend a court hearing with my father,genuine
My subscription expired and I couldn't access the required software,genuine
A meteor landed in my backyard and I was busy with reporters,fake
I was in a road accident and had minor injuries,genuine
My notes got soaked in the rain because my bag wasn't waterproof,genuine
"Aliens abducted me", fake
"A wizard cast a spell on me", fake
"My laptop exploded magically", fake
"A dragon kidnapped my notebook", fake
